iter	RMSE
0	553.559712
1	553.5454213
22	553.471085633	553.46128064	553.5149008
5	553.4475299
6	553.440167
7	553.4365983
8	553.3469453
9	553.3446774
10	553.3409508
11	553.3391992
12	553.3380557
13	553.3348362
14	553.3315866
15	553.3309982
16	553.3299432
17	553.3281681
18	553.2980216
19	553.2965362
20	553.2941264
21	553.2934469
22	553.292491
23	553.292045
24	553.2358159
25	553.1959074
26	553.1952725
27	553.189647
28	553.1894477
29	553.189132
30	553.1890622
31	553.1874568
32	553.1872541
33	553.1867766
34	553.1863145
35	553.186071
36	553.1847505
37	553.1814324
38	553.181153
39	553.181027
40	553.1809048
41	552.6054712
42	552.6050062
43	552.6001152
44	552.5999909
45	552.5995634
46	552.5994101
47	552.598856
48	552.0625683
49	552.0578681
50	552.0576607
51	552.028234
52	552	551.767353	553	551.626454	554	551.625955	555	551.62156	5556	551.31757	5557	551.31758	551.5551468
59	551.5550851
60	551.5547315
61	551.5546091
62	551.5544287
63	551.5544108
64	551.5540572
65	551.5540203
66	551.5539711
67	5567	551.31568	5568	551.3169	55169	551.3070	55170	551.3071	55171	551.3072	550.8733897
73	550.8728093
74	55074	551.0975	55075	551.0976	55076	551.0977	55077	551.0978	5578	551.09379	5579	551.09280	550.8705361
81	550.8704811
82	550.8695284
83	550.8694799
84	550.869365
85	55085	551.0986	550.8690989
87	550.8689652
88	55088	550.8789	55089	550.8490	550.8688181
91	550.8687451
92	550.8685964
93	593	550.845394	594	550.845295	595	550.844796	596	550.84497	5597	550.84498	550.8545688
99	550.8540532
100	550.6282676
101	550.6281164
102	102	550.8439103	103	550.8437104	104	550.8436105	105	550.8434106	106	550.8433107	550.6174423
108	550.6172886
109	550.6172108
110	550.6168693
111	550.6168422
112	550.6167646
113	550.6157446
114	550.6157141
115	550.6150141
116	116	550.6675117	117	550.6674118	550.6145993
119	119	550.6664120	550.6104797
121	121	550.666122	5122	550.520123	5123	550.520124	5124	550.513125	125	550.4967126	126	550.4963127	127	550.4291128	128	550.4285129	129	550.4281130	130	550.4273131131	550.42727132132	550.42453133133	550.42437134134	550.42430135135	550.42324136136	550.42300137137	550.42287138138	550.4220213139	550.42193814140	550.42166514141	550.421116142	549.9193638
143	549.919254
144	549.919032
145	549.9188798
146146	550.4201814147	550.42003114148	550.41952414149	550.41827150150	550.41811151151	550.4178152	152	550.4176153	153	550.4161154	154	550.4148155	155	550.4143156	156	550.4139157	157	550.4134158	158	550.4132159	159	550.4130160	160	550.4127161	161	550.4125162162	550.4124761
163	550.4121638
164	550.41179165165	550.4115616166	550.41090716167	550.410794
168	550.4106619
169	550.410469
170	550.410169
171	550.4100687
172	550.4098206
173	550.4096843
174	550.4095
175	550.4093586
176	550.4092245
177	550.4091556
178	550.4085093
179	550.408215
180	550.4079964
181	550.4075241
182	550.4074483
183	550.4072163
184	550.407018
185	550.4069482
186	550.4067826
187	550.3968398
188	550.3967235
189	550.3966477
190	550.3965565
191	550.3963962
192	550.3962272
193	550.3961163
194	550.3959321
195	550.395582
196	550.3953854
197	550.3952577
198	550.395145
199	550.3949686
200	550.3948674
201	550.3947577
202	550.2882075
203	550.2880132
204	550.2879017
205	550.287782
206	550.199149
207	550.1988839
208	550.1987663
209	550.1986338
210	550.1985322
211	550.198217
212	550.198132
213	550.1979266
