iter	Passed	Remaining
0	657	656700
1	1184	590966
2	1785	593411
3	2350	585229
4	2857	568572
5	3369	558178
6	3815	541243
7	4183	518750
8	4504	495978
9	4797	474903
10	5083	457008
11	5435	447549
12	5814	441468
13	6172	434690
14	6554	430405
15	6819	419423
16	7176	414960
17	7462	407097
18	7777	401568
19	8081	395980
20	8341	388869
21	8654	384722
22	8940	379768
23	9252	376288
24	9547	372345
25	9780	366388
26	10010	360745227	10289	357178228	10527	352502229	10777	348462330	11100	346970331	11418	345396332	11713	343237333	12097	343711334	12350	340515335	12581	336914336	12927	336454337	13182	333732338	13458	331619339	13693	328649440	13985	327112441	14232	324635442	14561	324070443	14804	321671444	15116	320801445	15370	318770446	15690	318144447	16014	317620448	16450	319265449	16829	319761550	17222	320467551	17671	32216452	18211	325397
53	18704	327670
54	19120	328519
55	19623	330787
56	20071	332060
57	20486	332736
558	20915	333582559	21379	334945660	21995	338580661	22587	341728662	23121	343879663	23597	345116664	24090	346530665	24556	347516666	25056	34892767	25552	350217
68	26044	351409
69	26469	351661
70	26796	350623
71	27173	350236
772	27446	348532773	27855	34856674	28286	348862
75	28641	348221
76	29051	348237
77	29536	349135
78	29931	348953
79	30317	348646
880	30681	348108881	31050	347617882	31668	349883883	32245	351625884	32666	35164685	33276	353658
886	34055	357388887	34563	35820888	35145	359745
89	35663	360597
990	36047	360081991	36485	360095992	36840	35929693	37548	361899
94	38231	364202
95	38905	366364
96	39887	371322
97	40535	373094
998	41274	375640999	42420	3817881100	43405	3863531101	44278	389823102	45788	398762
103	46685	402211
104	47540	405229
105	48425	408418
106	49184	410481
1107	49762	4110011108	50672	4142141109	51615	4176151110	52516	4206061111	53108	4210741112	54050	4242741113	54977	4272791114	55714	4287591115	56456	430238116	57939	437273
117	59457	444422
1118	60630	448871119	61854	453597
1120	62910	457007121	64107	461366
122	64724	461494
123	65466	462488
124	66108	462762
125	66850	463708
126	67354	462997
127	67946	462888
128	68669	463651
129	69271	463588
130	69975	464188
131	70615	464351
132	71195	464108
133	71623	462879
134	72022	461480
135	72414	460044
136	72774	458429
137	73238	457474
138	73657	456252
139	73956	454305
140	74336	452873
141	74799	451960
1142	75152	4503911143	75723	4501331144	76403	4505141145	76938	450037146	77656	450617
147	78394	451300
148	78936	450836
149	79511	450562
150	80025	449941
151	80603	449680
152	81144	449213
153	81714	448900
154	82594	450271
155	83315	450758
156	83754	449714
157	84383	449689
158	84982	449501
159	85678	449809
160	86415	450327
161	86883	449436
162	87439	448998
163	87915	448153
164	88349	447103
165	89085	447575
166	89523	446545
167	90038	445902
168	90455	444785
169	90900	443806
170	91360	442911
171	91760	441732
172	92256	441018
173	92674	439937
174	93159	439178
175	93581	438132
176	93921	436707
177	94298	435468
178	94697	434337
179	95067	433087
180	95448	431892
181	95909	431065
182	96232	429626
183	96590	428359
184	96976	427220
185	97383	426182
186	97718	424840
187	98197	424128
188	98556	422908
189	98960	421883
190	99485	421378
191	99982	420759
192	100542	420404
193	101016	419688
194	101504	419030
195	101995	418388
196	102454	417620
197	102920	416880
198	103379	416116
199	103832	415328
200	104302	414616
201	104822	414099
202	105367	413684
203	105765	412693
204	106296	412224
205	107184	413127
206	107813	413025
207	108556	413348
208	109136	413047
209	109644	412472
210	110077	411618
211	110434	410482
212	110952	409949
213	111533	409650
214	112075	409207
215	112758	409270
216	113465	409415
217	114449	410548
218	115608	412284
219	116671	413652
220	117555	414368
221	118379	414862
222	118940	414424
223	119530	414087
224	120197	414013
225	120811	413751
226	121678	414350
227	122299	414102
228	122880	413716
229	123513	413502
230	124001	412800
231	124702	412808
232	125632	413561
233	126118	412847
234	126646	412274
235	127168	411679
236	127836	411559
237	128580	411673
238	129326	411787
239	130033	411773
240	130766	411832
241	131469	411793
242	132034	411317
243	132745	411292
244	133444	411228
245	134059	410897
246	134547	410179
247	134958	409227
248	135432	408473
249	135753	407260
250	136564	407518
251	137318	407597
252	137931	407252
253	138584	407022
254	139330	407064
255	139860	406469
256	140540	406309
257	141068	405708
258	141228	404054
259	141830	403671
260	142462	403370
261	143025	402872
262	144033	403623
263	144302	402297
264	144833	401708
265	145518	401542
266	146119	401145
267	146582	400367
268	147176	399947
269	147934	399970
270	148982	400768
271	149538	400234
272	150021	399508
273	150481	398720
274	150998	398086
275	151557	397564
276	152035	396830
277	152501	396064
278	152932	395211
279	153380	394406
280	153937	393882
281	154311	392892
282	155216	393251
283	155665	392452
284	156037	391462
285	156065	389618
286	156438	388643
287	156851	387772
288	157384	387197
289	157818	386382
290	158825	386965
291	159236	386094
292	159653	385239
293	160113	384489
294	160187	382821
295	160681	382160
296	161079	381276
297	161532	380521
298	162364	380661
299	163025	380392
300	163620	379968
301	164498	380197
302	164945	379428
303	165463	378823
304	165859	377942
305	166292	377146
306	166690	376275
307	167124	375488
308	167523	374623
309	168244	374478
310	168970	374344
311	169561	373905
312	169999	373130
313	170553	372610
314	171039	371943
315	171479	371176
316	171868	370303
317	172372	369679
